Ship's Name,IMO number,Call Sign,Flag Country,Port of registry ,Year Built,Owner ,Operator,Type of Cargo Containment System,Tank Capacity (total 100% full),Classification Society, 1st Gas management System,2ndGas management System, LOA,LBP,Breadth (Moulded),Depth (Moulded),Upper deck height above BL,Manifold heigh above BL,Draft  (Design),Draft  (Ballast),Draft  (Load),Displacement (Design),Displacement (Loaded) ,Gross tonnage,Allowable Hull Pressure (ton/m²),Ballast Fender Percentage AA->DD,Fender Reaction Force (%) AA,Fender Reaction Force (%) BB,Fender Reaction Force (%) CC,Fender Reaction Force (%) DD,Loaded Fender Percentage AA->DD,Fender Reaction Force (ton) AA,Fender Reaction Force (ton) BB,Fender Reaction Force (ton) CC,Fender Reaction Force (ton) DD,Berthing Energy & Fender Absorb Percentage,Mooring Rope,Rope BL,Mooring Tail,Tail BL,Mooring Pattern,Gangway B-A,Gangway D-C,Margin Gangway Upper,Margin Gangway Lower,Manifold Space,ESD By-Pass,Maximum Flow ,Maximum Manifold Barrg,Margin Manifold Upper,Margin Manifold Lower,FiberOpic Connector Type,Electric Connector Type,Primary CTMS,Secondary CTMS,SDP Outside Diameter,SDP inside Diameter,Flage Thickness,Raised Face,Surface Finish,Count of SDP onboard,Higher Sunkenbitt BL,Higher Sunkenbitt Load,Lower Sunkenbitt BL2,Lower Sunkenbitt Load3,
AL HAMRA,9074640,ELTL9,LIBERIA,MONROVIA,1997,AL HAMRA LTD,ADNOC,Moss-Type,137128.64,LLOYDS,Gas Burning,N/A,290.1,273.23,48.18,27,27,30.97,0,9.8,11.4,0,"108,000.00","108,000.00",20,"0, 90, 100, 100",0%,28%,21%,21%,"0, 90, 100, 100",0%,27%,20%,20%,"145.5, 26.2%",Steel wire ,137,Fibre ropes polyprop,194,FWD : 2/2/2/2 :::::::: 2/2/2/2 AFT  ,3,1.9,1.5,3,"3.5, 3.5, 3.5, 3.5",None,"11,000",5,2.33,1.57,FO type 6 cores,"1/2"" SNAP-TITE MALE QDC FITTING
1/2"" BSPP 316 ST/ST",Radar type level gauge,Radar type level gauge,595,380,37.7,468.9 mm,"6.5 Max, 5.9 Min.",5,4.08,2.48,4.08,2.475,
Al Reef,9972945,5LPF7,LIBERIA,MONROVIA,2025,AL REEF LTD.,ADNOC Logistics & Services,Membrane,175008.82,DNV,Gas Burning,GCU,298.5,290.5,46,26.5,26.5,31.2,0,9.5,11.6,0,"117,362.00","117,362.00",20,"70, 100, 100, 100",27%,18%,22%,25%,"100, 100, 100, 100",18%,17%,20%,23%,"156, 28.09%",HMPE ,125,Polypropylene/ Polyester mixed,156,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,3,2.3,1.7,2.3,"3, 3, 3, 3",Have,"14,800",4,1.8,1.6,6 way connector,37-way Pyle National compatible ATEX,RADAR,RADAR,597,387.4,38.7,469.9 mm,"6.3 Max, 3.2 Min.",10,5.95,3.85,3.5,1.4,
AL SHELILA,9965423,5LPF5,LIBERIA,MONROVIA,16/7/1905,AL SHELILA INC,,Membrane,174837.521,DNV,GCU,N/A,298.5,290.5,46,26.5,26.5,31.2,11.5,9.5,11.5,117541,128962,128962,20,"70, 100, 100, 100",0.27,0.18,0.22,0.25,"100, 100, 100, 100",0.18,0.17,0.2,0.23,"171.4, 30.86%",Syntetic UHMWPE,129,Other,169,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,10,1,1.7,2.4,"3000, 3000, 3000, 3000",Have,14800,5,1.8,1.7,6-way compatible (6 core) connector,Pyle National 37 Pin,RADAR,RADAR,597,387,38.2,469.9 mm,"6.3 Max, 3.2 Min.",5,2,0,-0.2,-2.2,
AMANI,9661869,V8V3146,BRUNEI DARUSSALAM,MUARA,,BGC Four (NBD) Sendirian Berhad. ,Brunei Gas Carrier Sendirian Berhad,Membrane,155024,American Bureau of Shipping,Gas Burning,GCU,288.33,275.8,44.2,26,26,31.68,11.5,9.4,11.5,"107,017.00","107,017.00","107,017.00",20,"100, 40, 100, 79",0,60%,17%,24%,"100, 67, 100, 100",0%,35%,15%,17%,"142.2, 25.6%",Polyamind Aramid,137,nylon,171,FWD : 2/2/2/2 :::::::: 2/2/2/2 AFT  ,5.5,2.9,2.1,1.9,"3, 3, 3, 3",?,"14,000","Normal Operating 5.0 bar   (Liquid ) /
0.2 bar(Vapor return)",1.22,2.18,FO type 6 Core,37-way pyle,Rosemount Tank Radar STaR SCU / R2570,Rosemount Tank Radar STaR SCU / R2570,597,381,37.95 - 38.15,469.9 mm,"6.3 Max, 3.2 Min.",4,,,,,
ARISTIDIS I,9862906,9HA5237,MALTA,VALETTA,2021,ATROTOS GAS CARRIER CORP.,CAPITAL GAS MANAGEMENT CORP.,Membrane,174007.01,LR,Gas Burning,Reliq Plant,299.06,291,46.4,26.5,26.5,30.8,0,9.3,11.5,0,"116,250.00","116,250.00",20,"0, 100, 100, 100",0%,22%,22%,23%,"0, 100, 100, 100",0%,22%,20%,21%,"154.5, 27.82%",HMPE ,131,POLYESTER/OLEFIN,163,FWD : 2/2/2/2 :::::::: 2/2/2/2 AFT  ,13,2,1.5,2.4,"3, 3, 3, 3",Have,"12,252",4,2,1.3,Fibre Optic 6 Core Connector,"SVHC8-8M(Male), SVHN8-8F(female)",Radar beam level type measurement,Float level Gauge,595,387,36.6,469.9 mm,"3.2 Max, 6.3 Min.",5,11.6,9.4,4.12,1.915,
British Listener,976566,MAOR6,Isle of Man,Douglas,2019,Hai Kuo Shipping,Daewoo Shipbuilding and Marine Engineering ,Membrane,173690,LR,Gas Burning,GCU,294.9,282.9,46.4,26.5,26.5,31.23,11.5,9.4,12.5,"119,610.70","131,207.00","131,207.00",20,"100, 100, 100, 100",0.18,17%,21%,24%,"100, 100, 100, 100",17%,17%,20%,23%,"180, 32.41%",Syntetic HMPE,125,polyester,158,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,10,2.64,1.6,1.4,"3, 3, 3, 3",Have,"14,000",5,1.67,0.73,FC connector (6pin),HDE-B1716-621SL- AG (female) Pyle National AF Series Compatible ,Radar,Radar,595.4,381,36.6,1.6 mm,"6.3 Max, 3.2 Min.",5,6.66,3.56,4.03,0.93,
British Sponsor,9766580,MAOR4,Isle of Man,Douglas,2019,Natural Gas Ocean Transportation Investments No. 20 SPC D S.A.,BP Shipping Ltd,Membrane,173690,LR,Gas Burning,GCU,294.9,282.9,46.4,26.5,26.5,31.23,0,9.4,11.5,0,"119,610.70","119,610.70",20,"100, 100, 100, 100",20%,19%,24%,28%,"100, 100, 100, 100",22%,20%,24%,28%,"158.9, 28.61%",HMPE ,125,Polyester,158,FWD :3/2/2/2 :::::::: 2/2/2/3 AFT  ,10,2.64,1.6,2.4,"3, 3, 3, 3",Have,"14,000",4,1.67,1.73,FC connector (6pin),HDE-B1716-621SL- AG (female) Pyle National AF Series Compatible ,Radar,Radar,595.4,381,36.6,470 mm,"6.3 Max, 3.2 Min.",5,6.66,4.56,4.03,1.93,
BW HELIOS,9873852,9V6826,SINGAPORE,SINGAPORE,2021,SELENE NAVIGATION Pte.Ltd,BW FLEET MANAGEMENT AS,Membrane,174281.5,DNV,Gas Burning,Reliq Plant,294.9,288.5,46.4,46.4,26.5,31.21,0,9.3,11.5,0,117252.9,117252.9,20,"47, 100, 100, 100",0.39,0.18,0.23,0.27,"100, 100, 100, 100",0.17,0.17,0.21,0.25,"155.8, 28.05%",HMPE ,128,"POLYOLEFINS, SYNTHETIC",165,FWD : 3/2/2/2(in) :::::::: 2/2/2/3 AFT  ,5,2.25,1.5,2.4,"3, 3, 3, 3",Have,12250,4,1.59,1.71,FC TYPE 6 CORES,"HDE-1016-3716-M, 37 PYLE NATIONAL",RADAR,RADAR,595.4,387.4,36.6,460 mm,"6.3 Max, 3.2 Min.",5,6.38,4.18,3.89,1.691,
CELSIUS CANBERRA,9864796,V7A4348,MARSHALL ISLANDS,MAJURO,2021,"Xiang CH27 HK International Ship Lease Co.,Limited",Celsius Tech Limited,Membrane,180259.77,Lloyds Register,Gas Burning,GCU,299.15,292,45.8,26.2,26.2,31,0,9.6,11.5,0,"122,313.30","122,313.30",14,"100, 100, 100, 100",27%,26%,32%,37%,"100, 100, 100, 100",26%,24%,30%,34%,"164.7, 29.65%",HMPE ,127,nylon,161,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,4.7,2.6,2.1,2.1,"3, 3, 3, 3",Have,"15,600",5,2.1,1.5,6- WAY (FURUKAWA - Compatible ) fo ship type connectorV.23 A Sync Modem,Pyle-National compatible 37 way - connector,Radar Guaging System,Radar Guaging System,595,387.4,38,460 mm,"6.3 Max, 3.2 Min.",10,6.89,4.99,3.59,1.69,
Celsius Carolina,9878723,V7A4385,Marshall Islands,Majuro,2021,Frigg Shipco 2 LLC,Celsius Tech Limited,Membrane,180243.5,Lloyds Register,Gas Burning,GCU,299.16,292,45.8,26.2,26.2,31,0,9.6,11.5,0,"123,265.00","123,265.00",20,"100, 100, 100, 100",19%,19%,23%,27%,"100, 100, 100, 100",18%,17%,21%,24%,"106.4, 19.16%",UHMWPE ,127,Polypropylene/Polyester Composite 8 Strand,159,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,9,2,2.1,2.1,"3, 3, 3, 3",Have,"15,600",4,2.1,1.5,6-WAY FO SHIP TYPE CONNECTORS,PYLE-NATTIONAL COMPATIBLE 37 WAY-CONNECTOR,"Custody Transfer System, Secondary Level Gauging System, Tank Overfill, Protection System GLA-310/5","Custody Transfer System, Secondary Level Gauging System, Tank Overfill, Protection System GLA-310/5",595,387.4,36.6,460 mm,"6.3 Max, 3.2 Min.",10,6.89,4.99,3.59,1.69,
